"PVWatts: Hourly PV Performance Data"
"Requested Location:","Akra, Ghana"
"Location:","ACCRA/KOTOKA INTL, GHANA"
"Lat (deg N):","5.6"
"Long (deg W):","0.17"
"Elev (m):","69"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","16.1"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","2","8","270","248","24","3.1","436.701","33.229","1430.068","1374.436"
"1","2","9","388","336","24.2","3.1","668.161","39.281","2137.034","2056.966"
"1","2","10","464","393","24.3","3.1","845.029","43.854","2645.637","2545.117"
"1","2","11","481","420","24.5","3.1","927.409","46.257","2868.731","2758.481"
"1","2","12","510","423","31","5.1","961.516","49.731","2920.321","2807.755"
"1","2","13","471","399","31","4.1","864.283","49.677","2624.964","2525.322"
"1","2","14","400","347","31.3","4.1","697.948","46.426","2153.011","2072.338"
"1","2","15","293","264","31","4.1","476.107","41.264","1499.985","1442.144"
"1","2","16","128","154","30","2.1","222.607","35.809","712.621","677.036"
"1","2","17","3","42","28","0","43.192","29.857","144.447","121.345"
"1","2","18","0","0","27","0","0","27","0","0"
"1","2","19","0","0","26","0","0","26","0","0"
"1","2","20","0","0","25","0","0","25","0","0"
"1","2","21","0","0","24.7","0","0","24.7","0","0"
"1","2","22","0","0","24.4","0","0","24.4","0","0"
"1","2","23","0","0","24.2","0","0","24.2","0","0"
"1","3","0","0","0","23.9","0","0","23.9","0","0"
"1","3","1","0","0","23.6","0","0","23.6","0","0"
"1","3","2","0","0","23.3","0","0","23.3","0","0"
"1","3","3","0","0","23.1","0","0","23.1","0","0"
"1","3","4","0","0","22.8","0","0","22.8","0","0"
"1","3","5","0","0","22.5","0","0","22.5","0","0"
"1","3","6","0","29","23","0.2","28.376","21.631","99.066","76.831"
"1","3","7","62","132","24","0.5","162.799","27.772","544.426","512.85"
"1","3","8","210","241","26","0.5","384.463","38.291","1229.04","1179.508"
"1","3","9","184","318","27.2","2.3","477.733","38.872","1532.345","1473.465"
"1","3","10","315","513","28.3","4.1","826.773","45.377","2568.5","2471.237"
"1","3","11","420","430","29.5","4.6","871.418","47.378","2679.766","2577.788"
"1","3","12","447","430","31","0","900.313","64.916","2513.616","2418.636"
"1","3","13","445","408","31","1.3","849.859","56.301","2490.301","2396.283"
"1","3","14","383","373","32","2.6","711.958","49.819","2157.595","2076.748"
"1","3","15","276","251","30","1.5","451.276","43.558","1405.313","1350.452"
"1","3","16","83","150","29","2.1","192.678","33.95","625.515","592.04"
"1","3","17","3","44","27","0.5","45.498","27.718","153.759","130.477"
"1","3","18","0","0","26.7","0.5","0","26.7","0","0"
"1","3","19","0","0","26.4","0.4","0","26.4","0","0"
"1","3","20","0","0","26.1","0.4","0","26.1","0","0"
"1","3","21","0","0","25.8","0.3","0","25.8","0","0"
"1","3","22","0","0","25.5","0.3","0","25.5","0","0"
"1","3","23","0","0","25.2","0.3","0","25.2","0","0"
"1","4","0","0","0","24.8","0.2","0","24.8","0","0"
"1","4","1","0","0","24.5","0.2","0","24.5","0","0"
"1","4","2","0","0","24.2","0.2","0","24.2","0","0"
"1","4","3","0","0","23.9","0.1","0","23.9","0","0"
"1","4","4","0","0","23.6","0.1","0","23.6","0","0"
"1","4","5","0","0","23.3","0","0","23.3","0","0"
"1","4","6","2","28","23","0","27.706","21.414","96.394","74.21"
"1","4","7","114","128","24","0","184.554","29.472","606.638","573.61"
"1","4","8","239","240","25","0","401.18","39.912","1271.047","1220.271"
"1","4","9","274","297","29","0.5","535.073","47.314","1642.507","1580.021"
"1","4","10","362","413","29.9","1","771.93","53.246","2299.85","2213.497"
"1","4","11","485","414","30.9","1.5","925.041","56.871","2702.807","2599.838"
"1","4","12","453","415","31","2.1","897.378","54.619","2654.681","2553.776"
"1","4","13","396","452","31","2.6","850.897","52.117","2550.945","2454.415"
"1","4","14","397","341","30","2","689.843","48.757","2102.169","2023.416"
"1","4","15","318","261","29","1.5","489.978","43.528","1525.482","1466.823"
"1","4","16","137","148","28","1.5","220.097","34.464","708.338","672.859"
"1","4","17","2","45","28","1","46.357","28.661","156.173","132.844"
"1","4","18","0","0","27.4","1","0","27.4","0","0"
"1","4","19","0","0","26.9","0.9","0","26.9","0","0"
"1","4","20","0","0","26.3","0.9","0","26.3","0","0"
"1","4","21","0","0","25.8","0.8","0","25.8","0","0"
"1","4","22","0","0","25.2","0.8","0","25.2","0","0"
"1","4","23","0","0","24.6","0.7","0","24.6","0","0"
"1","5","0","0","0","24.1","0.7","0","24.1","0","0"
"1","5","1","0","0","23.5","0.7","0","23.5","0","0"
"1","5","2","0","0","23","0.6","0","23","0","0"
"1","5","3","0","0","22.4","0.6","0","22.4","0","0"
"1","5","4","0","0","21.9","0.5","0","21.9","0","0"
"1","5","5","0","0","21.3","0.5","0","21.3","0","0"
"1","5","6","0","28","24","2.1","27.291","23.196","94.589","72.439"
"1","5","7","54","139","25","0.5","167.368","28.963","557.659","525.777"
"1","5","8","132","262","26","0.5","357.938","37.441","1151.977","1104.684"
"1","5","9","263","362","29","0.5","587.051","48.691","1789.491","1722.017"
"1","5","10","389","423","30","0.2","806.927","59.086","2327.999","2240.534"
"1","5","11","436","459","31","0","917.524","65.111","2558.751","2461.896"
"1","5","12","436","462","31.5","0.7","923.418","61.963","2622.187","2522.663"
"1","5","13","390","434","32","1.5","826.476","55.91","2427.106","2335.669"
"1","5","14","314","373","31","2.1","655.845","48.585","2001.056","1926.05"
"1","5","15","217","284","31","2.6","441.528","42.075","1387.602","1333.29"
"1","5","16","74","163","29.5","2.6","203.132","34.311","659.812","625.514"
"1","5","17","1","47","28","2.6","48.429","28.336","163.629","140.154"
"1","5","18","0","0","27.6","2.4","0","27.6","0","0"
"1","5","19","0","0","27.1","2.3","0","27.1","0","0"
"1","5","20","0","0","26.7","2.1","0","26.7","0","0"
"1","5","21","0","0","26.3","2","0","26.3","0","0"
"1","5","22","0","0","25.9","1.8","0","25.9","0","0"
"1","5","23","0","0","25.4","1.7","0","25.4","0","0"
"1","6","0","0","0","25","1.5","0","25","0","0"
"1","6","1","0","0","25","0.5","0","25","0","0"
"1","6","2","0","0","24.8","0.5","0","24.8","0","0"
"1","6","3","0","0","24.6","0.5","0","24.6","0","0"
"1","6","4","0","0","24.4","0.5","0","24.4","0","0"
"1","6","5","0","0","24.2","0.5","0","24.2","0","0"
"1","6","6","0","27","24","0.5","26.176","22.816","90.886","68.805"
"1","6","7","38","147","25","1.4","169.946","28.284","570.197","538.023"
"1","6","8","102","300","26.5","2.2","375.277","35.14","1223.36","1173.995"
"1","6","9","171","350","28","3.1","500.842","39.137","1604.553","1543.322"
"1","6","10","252","461","29","2.6","712.346","46.033","2205.501","2122.821"
"1","6","11","269","588","31","2.1","881.08","53.675","2619.907","2520.48"
"1","6","12","419","473","32","2.3","918.264","55.368","2705.365","2602.285"
"1","6","13","245","524","33","2.6","777.788","52.459","2327.694","2240.241"
"1","6","14","319","382","31","2.1","669.714","48.788","2041.238","1964.754"
"1","6","15","140","284","30","3.1","390.631","39.323","1246.916","1196.857"
"1","6","16","71","164","29","4.1","202.779","32.925","663.497","629.11"
"1","6","17","0","47","28.4","3.1","48.066","28.695","162.325","138.875"
"1","6","18","0","0","28.4","3.1","0","28.4","0","0"
"1","6","19","0","0","28","3.1","0","28","0","0"
"1","6","20","0","0","27.6","3.2","0","27.6","0","0"
"1","6","21","0","0","27.2","3.2","0","27.2","0","0"
"1","6","22","0","0","26.8","3.3","0","26.8","0","0"
"1","6","23","0","0","26.4","3.3","0","26.4","0","0"
"1","7","0","0","0","26","3.4","0","26","0","0"
"1","7","1","0","0","25.6","3.4","0","25.6","0","0"
"1","7","2","0","0","25.2","3.5","0","25.2","0","0"
"1","7","3","0","0","24.8","3.5","0","24.8","0","0"
"1","7","4","0","0","24.4","3.6","0","24.4","0","0"
"1","7","5","0","0","24","3.6","0","24","0","0"
"1","7","6","0","26","24","3.6","25.068","23.277","86.851","64.847"
"1","7","7","5","141","24.5","4.3","144.101","26.321","491.523","461.153"
"1","7","8","47","290","25","5.1","329.653","30.442","1101.632","1055.771"
"1","7","9","128","424","26","5.1","539.336","35.77","1757.946","1691.559"
"1","7","10","105","516","28.3","3.8","628.354","41.755","1989.182","1914.609"
"1","7","11","153","606","30.6","2.6","778.174","49.43","2367.298","2278.269"
"1","7","12","160","573","32","3.1","758.652","49.733","2304.21","2217.686"
"1","7","13","206","537","33","3.6","755.243","49.785","2292.904","2206.824"
"1","7","14","125","479","32","3.8","599.805","45.26","1863.901","1793.825"
"1","7","15","63","329","31","4.1","382.809","39.141","1225.862","1176.423"
"1","7","16","16","177","30","4.6","185.731","33.372","611.534","578.39"
"1","7","17","0","47","28","4.1","47.951","28.188","162.328","138.879"
"1","7","18","0","0","28","4.1","0","28","0","0"
"1","7","19","0","0","27.7","3.7","0","27.7","0","0"
"1","7","20","0","0","27.5","3.3","0","27.5","0","0"
"1","7","21","0","0","27.2","3","0","27.2","0","0"
"1","7","22","0","0","27","2.6","0","27","0","0"
"1","7","23","0","0","25.8","1.5","0","25.8","0","0"
"1","8","0","0","0","25","0.5","0","25","0","0"
"1","8","1","0","0","25","1.5","0","25","0","0"
"1","8","2","0","0","25","0.5","0","25","0","0"
"1","8","3","0","0","24.5","0.5","0","24.5","0","0"
"1","8","4","0","0","24","0.5","0","24","0","0"
"1","8","5","0","0","24","0.5","0","24","0","0"
"1","8","6","6","31","24.5","1.3","32.225","23.753","110.113","87.669"
"1","8","7","67","103","25","2.1","131.966","26.972","440.606","411.372"
"1","8","8","175","222","26.5","2.1","340.427","34.248","1110.497","1064.386"
"1","8","9","207","415","28","2.1","598.706","42.877","1881.881","1811.169"
"1","8","10","214","347","27","2.3","555.91","41.173","1764.723","1698.104"
"1","8","11","307","429","26","2.6","758.571","44.298","2370.494","2281.337"
"1","8","12","390","343","32","2.1","761.89","51.93","2286.972","2201.125"
"1","8","13","399","351","32","2.1","747.725","51.6","2247.84","2163.521"
"1","8","14","407","277","31.5","2.1","639.919","48.475","1952.759","1879.508"
"1","8","15","241","248","32","2.6","418.984","42.506","1312.771","1260.744"
"1","8","16","271","164","29","3.1","305.385","35.794","968.543","926.356"
"1","8","17","27","58","28","3.1","71.303","29.079","234.911","210.022"
"1","8","18","0","0","27","1.5","0","27","0","0"
"1","8","19","0","0","27","1.5","0","27","0","0"
"1","8","20","0","0","27","1.5","0","27","0","0"
"1","8","21","0","0","26.7","1.5","0","26.7","0","0"
"1","8","22","0","0","26.4","1.4","0","26.4","0","0"
"1","8","23","0","0","26.2","1.4","0","26.2","0","0"
"1","9","0","0","0","25.9","1.3","0","25.9","0","0"
"1","9","1","0","0","25.6","1.2","0","25.6","0","0"
"1","9","2","0","0","25.3","1.2","0","25.3","0","0"
"1","9","3","0","0","25.1","1.1","0","25.1","0","0"
"1","9","4","0","0","24.8","1.1","0","24.8","0","0"
"1","9","5","0","0","24.5","1","0","24.5","0","0"
"1","9","6","2","26","25","1","25.551","24.123","87.748","65.727"
"1","9","7","134","119","25","1","181.627","28.918","595.31","562.549"
"1","9","8","217","286","27","1","435.764","39.432","1385.536","1331.287"
"1","9","9","349","322","29","1.5","618.998","46.095","1911.665","1839.892"
"1","9","10","472","320","31","2.1","781.472","51.051","2355.655","2267.091"
"1","9","11","532","370","32","1.5","925.958","57.972","2689.015","2586.64"
"1","9","12","511","364","33","2.6","903.462","55.309","2662.608","2561.364"
"1","9","13","319","394","32","4.1","718.368","47.607","2206.034","2123.333"
"1","9","14","498","309","31","4.1","748.28","46.887","2302.429","2215.975"
"1","9","15","349","258","30","4.1","508.853","41.034","1604.419","1543.193"
"1","9","16","148","144","29","3.6","220.99","33.782","712.92","677.329"
"1","9","17","2","56","28.5","3.2","59.278","29.095","199.401","175.223"
"1","9","18","0","0","28","2.8","0","28","0","0"
"1","9","19","0","0","27.5","2.5","0","27.5","0","0"
"1","9","20","0","0","27","2.1","0","27","0","0"
"1","9","21","0","0","26.7","2","0","26.7","0","0"
"1","9","22","0","0","26.4","2","0","26.4","0","0"
"1","9","23","0","0","26.1","1.9","0","26.1","0","0"
"1","10","0","0","0","26","1.7","0","26","0","0"
"1","10","1","0","0","25.8","1.5","0","25.8","0","0"
"1","10","2","0","0","25.7","1.3","0","25.7","0","0"
"1","10","3","0","0","25.6","1.1","0","25.6","0","0"
"1","10","4","0","0","25.4","1.1","0","25.4","0","0"
"1","10","5","0","0","25.2","1.1","0","25.2","0","0"
"1","10","6","0","24","26.1","1.9","22.894","25.268","78.583","56.734"
"1","10","7","34","133","27","2.6","151.915","29.376","506.927","476.208"
"1","10","8","101","262","27.9","3.4","331.458","34.457","1083.47","1038.12"
"1","10","9","179","368","28.8","3.4","525.314","40.055","1675.092","1611.517"
"1","10","10","269","467","29.8","3.4","733.166","45.983","2270.498","2185.297"
"1","10","11","288","528","30.7","3.4","834.665","49.471","2538.556","2442.542"
"1","10","12","280","544","31.1","3.8","846.149","49.639","2571.242","2473.864"
"1","10","13","270","460","31.6","4.2","732.841","47.271","2254.549","2169.969"
"1","10","14","152","384","32","4.6","526.066","42.879","1654.607","1591.718"
"1","10","15","156","290","29.2","4.6","407.794","37.299","1314.794","1262.706"
"1","10","16","51","167","26.5","4.6","196.342","30.054","653.443","619.299"
"1","10","17","0","54","23.7","4.6","56.121","23.948","193.832","169.763"
"1","10","18","0","0","24.4","4.4","0","24.4","0","0"
"1","10","19","0","0","25","4.2","0","25","0","0"
"1","10","20","0","0","25.7","4","0","25.7","0","0"
"1","10","21","0","0","26","3.5","0","26","0","0"
"1","10","22","0","0","26.4","2.9","0","26.4","0","0"
"1","10","23","0","0","26.7","2.4","0","26.7","0","0"
"1","11","0","0","0","27.1","1.9","0","27.1","0","0"
"1","11","1","0","0","26.8","1.7","0","26.8","0","0"
"1","11","2","0","0","26.5","1.5","0","26.5","0","0"
"1","11","3","0","0","26.2","1.4","0","26.2","0","0"
"1","11","4","0","0","25.9","1.2","0","25.9","0","0"
"1","11","5","0","0","25.6","1","0","25.6","0","0"
"1","11","6","0","24","26","1","22.913","25","78.747","56.894"
"1","11","7","20","149","27","1","159.228","30.253","531.11","499.84"
"1","11","8","109","247","27","2.1","319.695","34.303","1045.185","1000.903"
"1","11","9","242","359","29","2.6","565.046","42.141","1782.051","1714.834"
"1","11","10","282","448","29","1","724.482","51.191","2182.629","2100.827"
"1","11","11","259","587","30.5","1","869.024","57.137","2535.474","2439.588"
"1","11","12","364","498","32","0.5","890.13","62.628","2518.118","2422.952"
"1","11","13","333","476","32","4.1","818.129","49.602","2486.101","2392.256"
"1","11","14","258","429","31.4","3.6","662.117","46.356","2044.767","1968.152"
"1","11","15","216","286","31","2.6","443.596","42.14","1394.098","1339.585"
"1","11","16","90","168","29","4.1","215.632","33.302","702.979","667.632"
"1","11","17","1","50","28","3.6","51.345","28.353","173.478","149.811"
"1","11","18","0","0","28","4.1","0","28","0","0"
"1","11","19","0","0","27.7","4.6","0","27.7","0","0"
"1","11","20","0","0","27.3","5.1","0","27.3","0","0"
"1","11","21","0","0","27","5.7","0","27","0","0"
"1","11","22","0","0","26.6","6.2","0","26.6","0","0"
"1","11","23","0","0","26.3","6.7","0","26.3","0","0"
"1","12","0","0","0","25.9","7.2","0","25.9","0","0"
"1","12","1","0","0","25.6","7.8","0","25.6","0","0"
"1","12","2","0","0","25.3","8.3","0","25.3","0","0"
"1","12","3","0","0","24.9","8.8","0","24.9","0","0"
"1","12","4","0","0","24.6","9.3","0","24.6","0","0"
"1","12","5","0","0","24.2","9.9","0","24.2","0","0"
"1","12","6","0","24","23.9","10.4","22.931","23.478","79.372","57.507"
"1","12","7","27","133","25.6","7.8","144.274","26.925","487.745","457.46"
"1","12","8","108","262","27.3","5.2","335.338","32.834","1104.528","1058.586"
"1","12","9","186","366","29","2.6","528.058","41.309","1673.04","1609.534"
"1","12","10","198","433","31","0","631.49","55.331","1860.384","1790.432"
"1","12","11","191","466","30.5","0","672.949","56.68","1968.365","1894.549"
"1","12","12","234","528","32","3.1","783.24","50.044","2374.954","2285.618"
"1","12","13","168","518","32","4.1","698.793","46.99","2153.135","2072.457"
"1","12","14","226","399","31.5","3.6","603.452","44.971","1877.188","1806.642"
"1","12","15","96","305","31","3.1","377.419","39.878","1203.001","1154.232"
"1","12","16","43","178","30","2.6","204.698","34.688","667.131","632.657"
"1","12","17","0","52","28.2","3.1","53.388","28.619","180.363","156.561"
"1","12","18","0","0","28.1","2.6","0","28.1","0","0"
"1","12","19","0","0","28.1","2","0","28.1","0","0"
"1","12","20","0","0","28","1.5","0","28","0","0"
"1","12","21","0","0","27.7","1.2","0","27.7","0","0"
"1","12","22","0","0","27.3","0.8","0","27.3","0","0"
"1","12","23","0","0","27","0.5","0","27","0","0"
"1","13","0","0","0","26.5","0.4","0","26.5","0","0"
"1","13","1","0","0","26","0.3","0","26","0","0"
"1","13","2","0","0","25.4","0.1","0","25.4","0","0"
"1","13","3","0","0","24.9","0","0","24.9","0","0"
"1","13","4","0","0","24.5","0","0","24.5","0","0"
"1","13","5","0","0","24.2","0","0","24.2","0","0"
"1","13","6","0","24","25.2","0","22.948","23.625","79.376","57.512"
"1","13","7","35","129","26.2","0","147.558","30.152","490.214","459.874"
"1","13","8","192","246","27.2","0","375.192","40.922","1183.455","1135.254"
"1","13","9","161","354","28.5","1.5","495.231","42.097","1562.91","1503.041"
"1","13","10","247","517","29.9","3.1","765.556","47.203","2355.806","2267.235"
"1","13","11","293","487","31.2","4.6","805.027","47.672","2471.81","2378.55"
"1","13","12","257","488","30.9","5","763.439","45.891","2366.125","2277.143"
"1","13","13","351","441","30.5","5.3","798.351","45.576","2477.881","2384.373"
"1","13","14","254","390","30.2","5.7","617.138","41.46","1954.54","1881.225"
"1","13","15","119","284","29.5","4.9","369.791","36.714","1196.666","1148.081"
"1","13","16","50","167","28.9","4.2","195.414","32.591","642.56","608.677"
"1","13","17","1","50","28.2","3.4","51.044","28.52","172.325","148.681"
"1","13","18","0","0","28","2.8","0","28","0","0"
"1","13","19","0","0","27.9","2.3","0","27.9","0","0"
"1","13","20","0","0","27.7","1.7","0","27.7","0","0"
"1","13","21","0","0","27.5","1.1","0","27.5","0","0"
"1","13","22","0","0","27.4","0.6","0","27.4","0","0"
"1","13","23","0","0","27.2","0","0","27.2","0","0"
"1","14","0","0","0","26.9","0","0","26.9","0","0"
"1","14","1","0","0","26.5","0","0","26.5","0","0"
"1","14","2","0","0","26.2","0","0","26.2","0","0"
"1","14","3","0","0","25.9","0","0","25.9","0","0"
"1","14","4","0","0","25.5","0","0","25.5","0","0"
"1","14","5","0","0","25.2","0","0","25.2","0","0"
"1","14","6","0","23","25.5","0.8","21.854","24.071","75.437","53.647"
"1","14","7","11","125","25.9","1.5","128.992","27.953","435.685","406.56"
"1","14","8","113","253","26.2","2.3","328.044","33.424","1076.929","1031.762"
"1","14","9","321","348","27.9","3.8","622.155","40.807","1974.66","1900.616"
"1","14","10","295","417","29.5","5.4","711.667","42.609","2242.578","2158.464"
"1","14","11","265","563","31.2","6.9","848.487","44.842","2644.053","2543.6"
"1","14","12","380","523","30.9","6.5","932.117","46.582","2878.503","2767.817"
"1","14","13","406","400","30.5","6.1","807.06","44.741","2515.734","2420.667"
"1","14","14","417","348","30.2","5.7","716.711","43.251","2248.115","2163.786"
"1","14","15","252","269","29.5","4.9","449.661","38.432","1438.942","1383.032"
"1","14","16","56","162","28.9","4.2","192.522","32.685","632.104","598.472"
"1","14","17","3","51","28.2","3.4","52.542","28.547","176.961","153.225"
"1","14","18","0","0","27.9","3","0","27.9","0","0"
"1","14","19","0","0","27.5","2.7","0","27.5","0","0"
"1","14","20","0","0","27.2","2.3","0","27.2","0","0"
"1","14","21","0","0","26.9","1.5","0","26.9","0","0"
"1","14","22","0","0","26.5","0.8","0","26.5","0","0"
"1","14","23","0","0","26.2","0","0","26.2","0","0"
"1","15","0","0","0","26.2","0","0","26.2","0","0"
"1","15","1","0","0","26.2","0","0","26.2","0","0"
"1","15","2","0","0","26.2","0","0","26.2","0","0"
"1","15","3","0","0","26.2","0","0","26.2","0","0"
"1","15","4","0","0","26.2","0","0","26.2","0","0"
"1","15","5","0","0","26.2","0","0","26.2","0","0"
"1","15","6","0","22","26.5","0.4","20.839","24.812","71.683","49.963"
"1","15","7","5","130","26.9","0.7","132.014","29.451","443.542","414.244"
"1","15","8","49","278","27.2","1.1","316.264","35.645","1030.028","986.164"
"1","15","9","127","373","28.5","2.3","480.706","40.055","1533.309","1474.398"
"1","15","10","236","463","29.9","3.4","697.216","45.213","2167.865","2086.627"
"1","15","11","194","500","31.2","4.6","711.368","45.699","2206.93","2124.194"
"1","15","12","305","529","31.2","4.6","863.784","48.742","2637.352","2537.184"
"1","15","13","266","483","31.2","4.6","753.506","46.819","2323.691","2236.397"
"1","15","14","277","416","31.2","4.6","664.084","44.855","2066.874","1989.439"
"1","15","15","163","313","30.2","3.8","437.154","39.848","1391.892","1337.447"
"1","15","16","38","178","29.2","3.1","201.741","33.656","661.331","626.997"
"1","15","17","0","52","28.2","2.3","52.795","28.682","178.304","154.542"
"1","15","18","0","0","27.9","2.7","0","27.9","0","0"
"1","15","19","0","0","27.5","3","0","27.5","0","0"
"1","15","20","0","0","27.2","3.4","0","27.2","0","0"
"1","15","21","0","0","27.2","3.8","0","27.2","0","0"
"1","15","22","0","0","27.2","4.2","0","27.2","0","0"
"1","15","23","0","0","27.2","4.6","0","27.2","0","0"
"1","16","0","0","0","27.2","3.4","0","27.2","0","0"
"1","16","1","0","0","27.2","2.3","0","27.2","0","0"
"1","16","2","0","0","27.2","1.1","0","27.2","0","0"
"1","16","3","0","0","26.5","0.7","0","26.5","0","0"
"1","16","4","0","0","25.9","0.4","0","25.9","0","0"
"1","16","5","0","0","25.2","0","0","25.2","0","0"
"1","16","6","0","25","26.2","1.1","24.107","25.003","82.85","60.92"
"1","16","7","11","128","27.2","2.3","132.206","29.163","443.984","414.676"
"1","16","8","92","254","28.2","3.4","315.847","34.368","1032.902","988.959"
"1","16","9","58","466","29.2","2.3","528.227","41.913","1670.239","1606.827"
"1","16","10","306","428","30.2","1.1","732.604","52.005","2197.384","2115.016"
"1","16","11","272","526","31.2","0","815.469","62.032","2314.73","2227.79"
"1","16","12","282","485","31.5","2.3","794.617","51.848","2386.302","2296.511"
"1","16","13","325","460","31.9","4.6","793.914","48.208","2430.44","2338.868"
"1","16","14","283","415","32.2","6.9","668.029","43.049","2098.601","2019.982"
"1","16","15","182","320","30.9","5.7","457.446","39.134","1461.403","1404.786"
"1","16","16","78","182","29.5","4.6","225.041","33.79","733.691","697.587"
"1","16","17","0","56","28.2","3.4","57.355","28.732","193.662","169.597"
"1","16","18","0","0","27.9","3.4","0","27.9","0","0"
"1","16","19","0","0","27.5","3.4","0","27.5","0","0"
"1","16","20","0","0","27.2","3.4","0","27.2","0","0"
"1","16","21","0","0","27.2","3.4","0","27.2","0","0"
"1","16","22","0","0","27.2","3.4","0","27.2","0","0"
"1","16","23","0","0","27.2","3.4","0","27.2","0","0"
"1","17","0","0","0","27.2","3.8","0","27.2","0","0"
"1","17","1","0","0","27.2","4.2","0","27.2","0","0"
"1","17","2","0","0","27.2","4.6","0","27.2","0","0"
"1","17","3","0","0","26.5","3.1","0","26.5","0","0"
"1","17","4","0","0","25.9","1.5","0","25.9","0","0"
"1","17","5","0","0","25.2","0","0","25.2","0","0"
"1","17","6","7","22","25.2","2.3","23.12","24.206","78.238","56.395"
"1","17","7","219","101","25.2","4.6","197.836","28.068","640.147","606.322"
"1","17","8","458","172","25.2","6.9","469.669","32.083","1536.047","1477.048"
"1","17","9","530","223","27.2","6.5","661.186","37.887","2126.669","2046.994"
"1","17","10","549","322","29.2","6.1","850.931","43.84","2663.902","2562.603"
"1","17","11","620","275","31.2","5.7","915.273","47.856","2807.52","2699.986"
"1","17","12","565","348","31.5","5.7","941.397","48.708","2874.816","2764.295"
"1","17","13","547","297","31.9","5.7","841.745","47.38","2587.847","2489.773"
"1","17","14","627","234","32.2","5.7","784.023","46.525","2416.512","2325.504"
"1","17","15","508","207","30.9","5.7","571.163","41.329","1795.01","1727.344"
"1","17","16","245","145","29.5","5.7","273.506","34.264","874.784","835.087"
"1","17","17","58","51","28.2","5.7","70.972","28.861","227.868","203.122"
"1","17","18","0","0","27.9","5.3","0","27.9","0","0"
"1","17","19","0","0","27.5","5","0","27.5","0","0"
"1","17","20","0","0","27.2","4.6","0","27.2","0","0"
"1","17","21","0","0","27.2","4.2","0","27.2","0","0"
