"PVWatts: Hourly PV Performance Data"
"Requested Location:","accra, ghana"
"Location:","ACCRA/KOTOKA INTL, GHANA"
"Lat (deg N):","5.6"
"Long (deg W):","0.17"
"Elev (m):","69"
"DC System Size (kW):","1.7"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","16.1"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","2","8","270","248","24","3.1","436.701","33.229","607.779","584.135"
"1","2","9","388","336","24.2","3.1","668.161","39.281","908.239","874.211"
"1","2","10","464","393","24.3","3.1","845.029","43.854","1124.396","1081.675"
"1","2","11","481","420","24.5","3.1","927.409","46.257","1219.211","1172.354"
"1","2","12","510","423","31","5.1","961.516","49.731","1241.136","1193.296"
"1","2","13","471","399","31","4.1","864.283","49.677","1115.61","1073.262"
"1","2","14","400","347","31.3","4.1","697.948","46.426","915.03","880.744"
"1","2","15","293","264","31","4.1","476.107","41.264","637.494","612.911"
"1","2","16","128","154","30","2.1","222.607","35.809","302.864","287.741"
"1","2","17","3","42","28","0","43.192","29.857","61.39","51.572"
"1","2","18","0","0","27","0","0","27","0","0"
"1","2","19","0","0","26","0","0","26","0","0"
"1","2","20","0","0","25","0","0","25","0","0"
"1","2","21","0","0","24.7","0","0","24.7","0","0"
"1","2","22","0","0","24.4","0","0","24.4","0","0"
"1","2","23","0","0","24.2","0","0","24.2","0","0"
"1","3","0","0","0","23.9","0","0","23.9","0","0"
"1","3","1","0","0","23.6","0","0","23.6","0","0"
"1","3","2","0","0","23.3","0","0","23.3","0","0"
"1","3","3","0","0","23.1","0","0","23.1","0","0"
"1","3","4","0","0","22.8","0","0","22.8","0","0"
"1","3","5","0","0","22.5","0","0","22.5","0","0"
"1","3","6","0","29","23","0.2","28.376","21.631","42.103","32.653"
"1","3","7","62","132","24","0.5","162.799","27.772","231.381","217.961"
"1","3","8","210","241","26","0.5","384.463","38.291","522.342","501.291"
"1","3","9","184","318","27.2","2.3","477.733","38.872","651.246","626.223"
"1","3","10","315","513","28.3","4.1","826.773","45.377","1091.613","1050.276"
"1","3","11","420","430","29.5","4.6","871.418","47.378","1138.901","1095.56"
"1","3","12","447","430","31","0","900.313","64.916","1068.287","1027.92"
"1","3","13","445","408","31","1.3","849.859","56.301","1058.378","1018.42"
"1","3","14","383","373","32","2.6","711.958","49.819","916.978","882.618"
"1","3","15","276","251","30","1.5","451.276","43.558","597.258","573.942"
"1","3","16","83","150","29","2.1","192.678","33.95","265.844","251.617"
"1","3","17","3","44","27","0.5","45.498","27.718","65.348","55.453"
"1","3","18","0","0","26.7","0.5","0","26.7","0","0"
"1","3","19","0","0","26.4","0.4","0","26.4","0","0"
"1","3","20","0","0","26.1","0.4","0","26.1","0","0"
"1","3","21","0","0","25.8","0.3","0","25.8","0","0"
"1","3","22","0","0","25.5","0.3","0","25.5","0","0"
"1","3","23","0","0","25.2","0.3","0","25.2","0","0"
"1","4","0","0","0","24.8","0.2","0","24.8","0","0"
"1","4","1","0","0","24.5","0.2","0","24.5","0","0"
"1","4","2","0","0","24.2","0.2","0","24.2","0","0"
"1","4","3","0","0","23.9","0.1","0","23.9","0","0"
"1","4","4","0","0","23.6","0.1","0","23.6","0","0"
"1","4","5","0","0","23.3","0","0","23.3","0","0"
"1","4","6","2","28","23","0","27.706","21.414","40.967","31.539"
"1","4","7","114","128","24","0","184.554","29.472","257.821","243.784"
"1","4","8","239","240","25","0","401.18","39.912","540.195","518.615"
"1","4","9","274","297","29","0.5","535.073","47.314","698.066","671.509"
